WKT;GID;ID_HOJA;TIPO;CONTEXTO;COTA
"MULTIPOINT ((446054.73 4106673.68))";"891022";"102632";TER;CGN;785.04
"MULTIPOINT ((446074.57 4106505.13))";"891023";"102632";TER;CGN;785.04
"MULTIPOINT ((446015.71 4106346.85))";"891024";"102632";TER;CGN;784.41
"MULTIPOINT ((445681.76 4106247.59))";"891025";"102632";TER;CGN;776.79
"MULTIPOINT ((445824.89 4106540.21))";"891026";"102632";TER;CGN;773.98
"MULTIPOINT ((445879.95 4106690.35))";"891027";"102632";TER;CGN;773.69
"MULTIPOINT ((445441.66 4106294.06))";"891028";"102632";TER;CGN;763.10
"MULTIPOINT ((445508.72 4106431.28))";"891029";"102632";TER;CGN;767.21
"MULTIPOINT ((445395.06 4106494.42))";"891030";"102632";TER;CGN;765.73
"MULTIPOINT ((445484.36 4106753.45))";"891031";"102632";TER;CGN;763.60
"MULTIPOINT ((445613.21 4106690.65))";"891032";"102632";TER;CGN;767.18
"MULTIPOINT ((445537.79 4106993.18))";"891033";"102632";TER;CGN;766.04
"MULTIPOINT ((445479.4 4107218.8))";"891034";"102632";TER;CGN;762.89
"MULTIPOINT ((445462.92 4107398.4))";"891035";"102632";TER;CGN;763.57
"MULTIPOINT ((445134.57 4107107.83))";"891036";"102632";TER;CGN;756.35
"MULTIPOINT ((445191.09 4106916.34))";"891037";"102632";TER;CGN;758.00
"MULTIPOINT ((444911.45 4106985.72))";"891038";"102632";TER;CGN;751.40
"MULTIPOINT ((444964.45 4106810.05))";"891039";"102632";TER;CGN;755.47
"MULTIPOINT ((445012.6 4106704.1))";"891040";"102632";TER;CGN;758.13
"MULTIPOINT ((445176.14 4106532.91))";"891041";"102632";TER;CGN;763.89
"MULTIPOINT ((445087.92 4106508.02))";"891042";"102632";TER;CGN;752.87
"MULTIPOINT ((445436.26 4106630.54))";"891043";"102632";TER;CGN;764.58
"MULTIPOINT ((445270.28 4106331.15))";"891044";"102632";TER;CGN;754.25
"MULTIPOINT ((445051.96 4106274.77))";"891045";"102632";TER;CGN;764.34
"MULTIPOINT ((444743.45 4106252.79))";"891046";"102632";TER;CGN;762.57
"MULTIPOINT ((444750.78 4106485.51))";"891047";"102632";TER;CGN;758.27
"MULTIPOINT ((444606.13 4106712.59))";"891048";"102632";TER;CGN;751.14
"MULTIPOINT ((444345.96 4106613.52))";"891049";"102632";TER;CGN;752.96
"MULTIPOINT ((444430.13 4106299.55))";"891050";"102632";TER;CGN;757.46
"MULTIPOINT ((444483.74 4106910.55))";"891051";"102632";TER;CGN;748.75
"MULTIPOINT ((444389.65 4107178.57))";"891052";"102632";TER;CGN;743.96
"MULTIPOINT ((444319.91 4107002.45))";"891053";"102632";TER;CGN;743.43
"MULTIPOINT ((444801.92 4106876.47))";"891054";"102632";TER;CGN;743.67
"MULTIPOINT ((444656.99 4107190.29))";"891055";"102632";TER;CGN;738.63
"MULTIPOINT ((444604.44 4107371.8))";"891056";"102632";TER;CGN;733.50
"MULTIPOINT ((444483.89 4107639.54))";"891057";"102632";TER;CGN;728.46
"MULTIPOINT ((444518.93 4107790.57))";"891058";"102632";TER;CGN;735.67
"MULTIPOINT ((444735.08 4107776.15))";"891059";"102632";TER;CGN;752.06
"MULTIPOINT ((445029.04 4107410.32))";"891060";"102632";TER;CGN;753.37
"MULTIPOINT ((444994.75 4107222.4))";"891061";"102632";TER;CGN;752.97
"MULTIPOINT ((445532.45 4107532.14))";"891062";"102632";TER;CGN;754.97
"MULTIPOINT ((444459.87 4108167.95))";"891063";"102632";TER;CGN;741.57
"MULTIPOINT ((444463.73 4108301.63))";"891064";"102632";TER;CGN;734.60
"MULTIPOINT ((444468.13 4108446.19))";"891065";"102632";TER;CGN;724.79
"MULTIPOINT ((444593.01 4108724.52))";"891066";"102632";TER;CGN;705.05
"MULTIPOINT ((444764.65 4108598.0))";"891067";"102632";TER;CGN;705.09
"MULTIPOINT ((445006.66 4108602.06))";"891068";"102632";TER;CGN;702.04
"MULTIPOINT ((444976.33 4108852.26))";"891069";"102632";TER;CGN;696.80
"MULTIPOINT ((444005.23 4108047.71))";"891070";"102632";TER;CGN;719.03
"MULTIPOINT ((444054.92 4107930.22))";"891071";"102632";TER;DEP;697.66
"MULTIPOINT ((443936.52 4108840.01))";"891072";"102632";TER;CGN;712.75
"MULTIPOINT ((443896.31 4108512.54))";"891073";"102632";TER;CGN;716.85
"MULTIPOINT ((443833.43 4108169.21))";"891074";"102632";TER;CGN;720.75
"MULTIPOINT ((443699.75 4107995.53))";"891075";"102632";TER;CGN;722.09
"MULTIPOINT ((443553.32 4107769.34))";"891076";"102632";TER;CGN;724.56
"MULTIPOINT ((443368.65 4107503.77))";"891077";"102632";TER;CGN;728.09
"MULTIPOINT ((443186.34 4107245.99))";"891078";"102632";TER;CGN;732.45
"MULTIPOINT ((443018.72 4107009.41))";"891079";"102632";TER;CGN;737.27
"MULTIPOINT ((442873.39 4106844.6))";"891080";"102632";TER;CGN;741.44
"MULTIPOINT ((442768.07 4106721.23))";"891081";"102632";TER;CGN;739.01
"MULTIPOINT ((442700.28 4106478.22))";"891082";"102632";TER;CGN;738.50
"MULTIPOINT ((442641.69 4106264.75))";"891083";"102632";TER;CGN;738.45
"MULTIPOINT ((442834.41 4106264.14))";"891084";"102632";TER;CGN;738.05
"MULTIPOINT ((442271.18 4106246.44))";"891085";"102632";TER;CGN;742.93
"MULTIPOINT ((442501.54 4106389.87))";"891086";"102632";TER;CGN;732.34
"MULTIPOINT ((442320.2 4106439.21))";"891087";"102632";TER;CGN;731.82
"MULTIPOINT ((442443.95 4106595.32))";"891088";"102632";TER;CGN;729.75
"MULTIPOINT ((442367.98 4106805.74))";"891089";"102632";TER;CGN;725.42
"MULTIPOINT ((442702.89 4106760.52))";"891090";"102632";TER;CGN;731.66
"MULTIPOINT ((442364.35 4107059.49))";"891091";"102632";TER;CGN;721.91
"MULTIPOINT ((442383.06 4107251.49))";"891092";"102632";TER;CGN;723.48
"MULTIPOINT ((442508.25 4107236.34))";"891093";"102632";TER;CGN;733.26
"MULTIPOINT ((442684.81 4107320.85))";"891094";"102632";TER;CGN;733.05
"MULTIPOINT ((442906.99 4107137.78))";"891095";"102632";TER;CGN;731.37
"MULTIPOINT ((442673.75 4107694.54))";"891096";"102632";TER;CGN;723.99
"MULTIPOINT ((442200.15 4107928.83))";"891097";"102632";TER;CGN;722.87
"MULTIPOINT ((442990.72 4107631.25))";"891098";"102632";TER;CGN;722.59
"MULTIPOINT ((444070.79 4107550.14))";"891099";"102632";TER;CGN;736.19
"MULTIPOINT ((443865.9 4107328.14))";"891100";"102632";TER;CGN;740.09
"MULTIPOINT ((443632.0 4107092.58))";"891101";"102632";TER;CGN;740.84
"MULTIPOINT ((443476.92 4106892.25))";"891102";"102632";TER;CGN;743.23
"MULTIPOINT ((443337.77 4106741.5))";"891103";"102632";TER;CGN;745.73
"MULTIPOINT ((443196.64 4106554.63))";"891104";"102632";TER;CGN;745.62
"MULTIPOINT ((443199.47 4106626.63))";"891105";"102632";TER;CGN;751.96
"MULTIPOINT ((443090.51 4106446.1))";"891106";"102632";TER;CGN;744.34
"MULTIPOINT ((442944.13 4106248.28))";"891107";"102632";TER;CGN;742.14
"MULTIPOINT ((444143.95 4107811.25))";"891108";"102632";TER;CGN;727.63
"MULTIPOINT ((444149.03 4108091.29))";"891109";"102632";TER;CGN;725.04
"MULTIPOINT ((443387.96 4108042.02))";"891110";"102632";TER;CGN;716.89
"MULTIPOINT ((442876.82 4107883.76))";"891111";"102632";TER;CGN;717.67
"MULTIPOINT ((442631.75 4107967.15))";"891112";"102632";TER;CGN;717.42
"MULTIPOINT ((443155.83 4108098.99))";"891113";"102632";TER;CGN;714.59
"MULTIPOINT ((442841.38 4108497.33))";"891114";"102632";TER;CGN;705.26
"MULTIPOINT ((443507.18 4108242.6))";"891115";"102632";TER;CGN;716.80
"MULTIPOINT ((443352.67 4108432.05))";"891116";"102632";TER;CGN;712.53
"MULTIPOINT ((443186.6 4108655.32))";"891117";"102632";TER;CGN;705.69
"MULTIPOINT ((443040.22 4108774.89))";"891118";"102632";TER;CGN;704.98
"MULTIPOINT ((443499.68 4108894.14))";"891119";"102632";TER;CGN;707.86
"MULTIPOINT ((443773.6 4108600.02))";"891120";"102632";TER;CGN;714.13
"MULTIPOINT ((443813.73 4107716.89))";"891121";"102632";TER;CGN;727.31
"MULTIPOINT ((444011.94 4107022.91))";"891122";"102632";TER;CGN;742.65
"MULTIPOINT ((444031.86 4106753.89))";"891123";"102632";TER;CGN;746.92
"MULTIPOINT ((444003.24 4106508.79))";"891124";"102632";TER;CGN;752.73
"MULTIPOINT ((444197.47 4106412.56))";"891125";"102632";TER;CGN;755.05
"MULTIPOINT ((443739.17 4106313.92))";"891126";"102632";TER;CGN;756.11
"MULTIPOINT ((443446.8 4106428.64))";"891127";"102632";TER;CGN;755.71
"MULTIPOINT ((443554.11 4106649.5))";"891128";"102632";TER;CGN;745.72
"MULTIPOINT ((443777.34 4106843.1))";"891129";"102632";TER;CGN;745.07
"MULTIPOINT ((443419.39 4107052.2))";"891130";"102632";TER;CGN;737.62
"MULTIPOINT ((443581.27 4107321.39))";"891131";"102632";TER;CGN;731.83
"MULTIPOINT ((442561.41 4108923.47))";"891132";"102632";TER;CGN;698.61
"MULTIPOINT ((442234.25 4108816.47))";"891133";"102632";TER;CGN;695.71
"MULTIPOINT ((442380.18 4108587.03))";"891134";"102632";TER;CGN;705.47
"MULTIPOINT ((442526.04 4108332.13))";"891135";"102632";TER;CGN;708.48
"MULTIPOINT ((442788.36 4108671.95))";"891136";"102632";TER;CGN;703.21
"MULTIPOINT ((442754.75 4108115.52))";"891137";"102632";TER;CGN;711.88
"MULTIPOINT ((442027.48 4108029.39))";"891138";"102632";TER;CGN;725.26
"MULTIPOINT ((442071.06 4107974.38))";"891139";"102632";TER;CGN;719.84
"MULTIPOINT ((441080.2 4107776.05))";"891140";"102632";TER;CGN;722.07
"MULTIPOINT ((441088.93 4107698.02))";"891141";"102632";TER;CGN;719.81
"MULTIPOINT ((440852.34 4107279.58))";"891142";"102632";TER;CGN;730.78
"MULTIPOINT ((440843.06 4107103.33))";"891143";"102632";TER;CGN;725.08
"MULTIPOINT ((441771.44 4108894.24))";"891144";"102632";TER;CGN;694.46
"MULTIPOINT ((442046.11 4108638.02))";"891145";"102632";TER;CGN;701.53
"MULTIPOINT ((441824.93 4108796.27))";"891146";"102632";TER;CGN;695.97
"MULTIPOINT ((441967.25 4108532.28))";"891147";"102632";TER;CGN;703.38
"MULTIPOINT ((442207.52 4108324.51))";"891148";"102632";TER;CGN;712.40
"MULTIPOINT ((442251.75 4108258.24))";"891149";"102632";TER;CGN;715.20
"MULTIPOINT ((442476.14 4108083.58))";"891150";"102632";TER;CGN;716.69
"MULTIPOINT ((442020.38 4108240.73))";"891151";"102632";TER;CGN;706.93
"MULTIPOINT ((441389.43 4108317.27))";"891152";"102632";TER;CGN;703.17
"MULTIPOINT ((441863.72 4108239.73))";"891153";"102632";TER;CGN;702.64
"MULTIPOINT ((441787.78 4107807.19))";"891154";"102632";TER;CGN;707.83
"MULTIPOINT ((441694.71 4108074.51))";"891155";"102632";TER;CGN;705.10
"MULTIPOINT ((441645.24 4108319.74))";"891156";"102632";TER;CGN;699.51
"MULTIPOINT ((441562.58 4108549.47))";"891157";"102632";TER;CGN;698.41
"MULTIPOINT ((441485.68 4108820.97))";"891158";"102632";TER;CGN;692.04
"MULTIPOINT ((440343.57 4108884.26))";"891159";"102632";TER;CGN;749.08
"MULTIPOINT ((440336.78 4108626.97))";"891160";"102632";TER;CGN;751.49
"MULTIPOINT ((440314.74 4108447.29))";"891161";"102632";TER;CGN;767.86
"MULTIPOINT ((440277.4 4108318.94))";"891162";"102632";TER;CGN;777.99
"MULTIPOINT ((440481.45 4108358.28))";"891163";"102632";TER;CGN;748.67
"MULTIPOINT ((440414.97 4108198.48))";"891164";"102632";TER;CGN;736.79
"MULTIPOINT ((440670.43 4108079.54))";"891165";"102632";TER;CGN;725.34
"MULTIPOINT ((440740.22 4107942.1))";"891166";"102632";TER;CGN;711.88
"MULTIPOINT ((440735.04 4108167.27))";"891167";"102632";TER;CGN;716.67
"MULTIPOINT ((440762.03 4108271.93))";"891168";"102632";TER;CGN;712.19
"MULTIPOINT ((440779.15 4108332.5))";"891169";"102632";TER;CGN;717.08
