WKT;GID;ID_HOJA;TIPO;ESTADO
"POLYGON ((443438.74 4106515.02,443449.95 4106507.44,443442.81 4106496.89,443431.6 4106504.47,443438.74 4106515.02))";"759993";"102632";EDI;USO
"POLYGON ((442502.81 4106668.3,442496.05 4106664.35,442492.16 4106670.97,442487.8 4106668.42,442483.29 4106676.1,442494.26 4106682.54,442502.81 4106668.3))";"760036";"102632";EDI;USO
"POLYGON ((440045.31 4108022.59,440036.37 4108015.04,440031.04 4108021.35,440039.98 4108028.9,440045.31 4108022.59))";"760152";"102632";EDI;USO
"POLYGON ((441509.41 4106847.74,441515.76 4106858.19,441526.44 4106851.72,441520.09 4106841.27,441509.41 4106847.74))";"760236";"102632";EDI;USO
"POLYGON ((442515.67 4107120.12,442501.7 4107108.76,442497.96 4107112.96,442496.29 4107114.99,442505.92 4107122.26,442503.84 4107125.02,442508.55 4107128.78,442515.67 4107120.12))";"760242";"102632";EDI;USO
"POLYGON ((442849.09 4105749.4,442854.4 4105752.14,442857.08 4105746.95,442851.76 4105744.21,442849.09 4105749.4))";"760290";"102632";EDI;USO
"POLYGON ((440470.6 4106683.42,440463.08 4106679.13,440455.71 4106692.06,440463.23 4106696.35,440470.6 4106683.42))";"760291";"102632";EDI;USO
"POLYGON ((440452.19 4106712.44,440459.8 4106716.66,440465.77 4106705.9,440458.16 4106701.68,440452.19 4106712.44))";"760292";"102632";EDI;USO
"POLYGON ((440468.87 4106733.04,440463.05 4106743.7,440477.8 4106751.75,440483.62 4106741.09,440468.87 4106733.04))";"760293";"102632";EDI;USO
"POLYGON ((440443.42 4106717.96,440437.6 4106728.62,440452.35 4106736.67,440458.17 4106726.01,440443.42 4106717.96))";"760294";"102632";EDI;USO
"POLYGON ((444148.06 4105750.92,444143.19 4105756.56,444147.83 4105760.58,444152.71 4105754.94,444148.06 4105750.92))";"760358";"102632";EDI;USO
"POLYGON ((442086.32 4108275.76,442101.64 4108264.46,442098.68 4108260.45,442083.36 4108271.76,442086.32 4108275.76))";"760508";"102632";EDI;USO
