GID;ID_HOJA;TIPO;ESTADO
"819642";"102632";EDI;USO
"819643";"102632";EDI;USO
"819644";"102632";EDI;USO
"819645";"102632";EDI;USO
"819646";"102632";EDI;USO
"819647";"102632";EDI;USO
"819648";"102632";EDI;USO
"819649";"102632";EDI;USO
"819650";"102632";EDI;USO
"819651";"102632";EDI;USO
"819652";"102632";EDI;USO
"819653";"102632";EDI;USO
"819654";"102632";EDI;USO
"819655";"102632";EDI;USO
"819656";"102632";EDI;USO
"819657";"102632";EDI;USO
"819658";"102632";EDI;USO
"819659";"102632";EDI;USO
"819660";"102632";EDI;USO
"819662";"102632";EDI;USO
"819663";"102632";EDI;USO
"819664";"102632";EDI;USO
"819665";"102632";EDI;USO
"819666";"102632";EDI;USO
"819667";"102632";EDI;USO
"819668";"102632";EDI;USO
"819670";"102632";EDI;USO
"819671";"102632";EDI;USO
"819672";"102632";EDI;USO
"819673";"102632";EDI;USO
"819674";"102632";EDI;USO
"819675";"102632";EDI;USO
"819676";"102632";EDI;USO
"819677";"102632";EDI;USO
"819678";"102632";EDI;USO
"819679";"102632";EDI;USO
"819680";"102632";EDI;USO
"819681";"102632";EDI;USO
"819682";"102632";EDI;USO
"819683";"102632";EDI;USO
"819684";"102632";EDI;USO
"819685";"102632";EDI;USO
"819686";"102632";EDI;USO
"819687";"102632";EDI;USO
"819688";"102632";EDI;USO
"819689";"102632";EDI;USO
"819690";"102632";EDI;USO
"819691";"102632";EDI;USO
"819692";"102632";EDI;USO
"819693";"102632";EDI;USO
"819694";"102632";EDI;USO
"819695";"102632";EDI;USO
"819696";"102632";EDI;USO
"819697";"102632";EDI;USO
"819698";"102632";EDI;USO
"819699";"102632";EDI;USO
"819700";"102632";EDI;USO
"819701";"102632";EDI;USO
"819702";"102632";EDI;USO
"819703";"102632";EDI;USO
"819704";"102632";EDI;USO
"819705";"102632";EDI;USO
"819706";"102632";EDI;USO
"819707";"102632";EDI;USO
"819708";"102632";EDI;USO
"819709";"102632";EDI;USO
"819710";"102632";EDI;USO
"819711";"102632";EDI;USO
"819712";"102632";EDI;USO
"819713";"102632";EDI;USO
"819714";"102632";EDI;USO
"819715";"102632";EDI;USO
"819716";"102632";EDI;USO
"819717";"102632";EDI;USO
"819718";"102632";EDI;USO
"819719";"102632";EDI;USO
"819720";"102632";EDI;USO
"819721";"102632";EDI;USO
"819722";"102632";EDI;USO
"819723";"102632";EDI;USO
"819724";"102632";EDI;USO
"819725";"102632";EDI;USO
"819726";"102632";EDI;USO
"819727";"102632";EDI;USO
"819728";"102632";EDI;USO
"819729";"102632";EDI;USO
"819730";"102632";EDI;USO
"819731";"102632";EDI;USO
"819732";"102632";EDI;USO
"819733";"102632";EDI;USO
"819734";"102632";EDI;USO
"819735";"102632";EDI;USO
"819736";"102632";EDI;USO
"819737";"102632";EDI;USO
"819738";"102632";EDI;USO
"819739";"102632";EDI;USO
"819740";"102632";EDI;USO
"819741";"102632";EDI;USO
"819742";"102632";EDI;USO
"819743";"102632";EDI;USO
"819744";"102632";EDI;USO
"819745";"102632";EDI;USO
"819746";"102632";EDI;USO
"819747";"102632";EDI;USO
"819748";"102632";EDI;USO
"819749";"102632";EDI;USO
"819750";"102632";EDI;USO
"819751";"102632";EDI;USO
"819752";"102632";EDI;USO
"819753";"102632";EDI;USO
"819754";"102632";EDI;USO
"819755";"102632";EDI;USO
"819756";"102632";EDI;USO
"819757";"102632";EDI;USO
"819758";"102632";EDI;USO
"819759";"102632";EDI;USO
"819760";"102632";EDI;USO
"819761";"102632";EDI;USO
"819762";"102632";EDI;USO
"819763";"102632";EDI;USO
"819764";"102632";EDI;USO
"819765";"102632";EDI;USO
"819766";"102632";EDI;USO
"819767";"102632";EDI;USO
"819768";"102632";EDI;USO
"819769";"102632";EDI;USO
"819770";"102632";EDI;USO
